PontoID,Ponto,LON,LAT,REGIAO,UF,ESTADO,gridM_ID,gridG_ID,LOCCLASS,CLASS_DED
750,M1001-E1-P1,-50.832922,-15.398786,Centro-Oeste,GO,Goiás,M1001,G15,outside,Degradação Moderada
748,M1001-E1-P3,-50.76986,-15.478017,Centro-Oeste,GO,Goiás,M1001,G15,inside,Degradação Baixa
713,M1009-E3-P1,-50.814776,-16.118247,Centro-Oeste,GO,Goiás,M1009,G15,inside,Degradação Agrícola Severa
708,M1009-E3-P2,-50.831664,-16.168822,Centro-Oeste,GO,Goiás,M1009,G15,inside,Degradação Baixa
706,M1009-E3-P3,-50.822681,-16.188046,Centro-Oeste,GO,Goiás,M1009,G15,outside,Degradação Moderada
705,M1009-E3-P4,-50.788635,-16.193076,Centro-Oeste,GO,Goiás,M1009,G15,inside,Degradação Baixa
710,M1009-E3-P6,-50.78046,-16.160647,Centro-Oeste,GO,Goiás,M1009,G15,inside,Degradação Moderada
711,M1009-E3-P7,-50.780371,-16.1593,Centro-Oeste,GO,Goiás,M1009,G15,inside,Degradação Moderada
709,M1009-E3-P8,-50.769232,-16.163611,Centro-Oeste,GO,Goiás,M1009,G15,outside,Degradação Moderada
712,M1009-E3-P9,-50.804535,-16.156515,Centro-Oeste,GO,Goiás,M1009,G15,outside,Degradação Moderada
594,M1089-E3-P1,-50.682364,-17.27905,Centro-Oeste,GO,Goiás,M1089,G17,inside,Degradação Baixa
595,M1089-E3-P2,-50.670776,-17.272312,Centro-Oeste,GO,Goiás,M1089,G17,outside,Não degradada
598,M1089-E3-P3,-50.675268,-17.264227,Centro-Oeste,GO,Goiás,M1089,G17,inside,Degradação Baixa
601,M1089-E3-P4,-50.678951,-17.263239,Centro-Oeste,GO,Goiás,M1089,G17,inside,Degradação Baixa
599,M1089-E3-P5,-50.671674,-17.263868,Centro-Oeste,GO,Goiás,M1089,G17,inside,Degradação Moderada
597,M1089-E3-P6,-50.671136,-17.264407,Centro-Oeste,GO,Goiás,M1089,G17,inside,Degradação Moderada
596,M1089-E3-P7,-50.670597,-17.265755,Centro-Oeste,GO,Goiás,M1089,G17,inside,Degradação Baixa
609,M1089-E3-P8,-50.680568,-17.213203,Centro-Oeste,GO,Goiás,M1089,G17,outside,Degradação Agrícola Severa
610,M1089-E3-P9,-50.712638,-17.195237,Centro-Oeste,GO,Goiás,M1089,G17,outside,Degradação Baixa
585,M1091-E1-P1,-50.75962,-17.435536,Centro-Oeste,GO,Goiás,M1091,G17,outside,Degradação Agrícola Severa
588,M1091-E1-P2,-50.753062,-17.432302,Centro-Oeste,GO,Goiás,M1091,G17,inside,Degradação Moderada
590,M1091-E1-P3,-50.750457,-17.431314,Centro-Oeste,GO,Goiás,M1091,G17,inside,Degradação Baixa
587,M1091-E1-P4,-50.750457,-17.432662,Centro-Oeste,GO,Goiás,M1091,G17,inside,Degradação Baixa
586,M1091-E1-P5,-50.750547,-17.434548,Centro-Oeste,GO,Goiás,M1091,G17,inside,Degradação Moderada
589,M1091-E1-P6,-50.730514,-17.431404,Centro-Oeste,GO,Goiás,M1091,G17,inside,Degradação Biológica Severa
592,M1091-E1-P7,-50.687665,-17.417749,Centro-Oeste,GO,Goiás,M1091,G17,outside,Não degradada
602,M1159-E4-P1,-50.633227,-17.254795,Centro-Oeste,GO,Goiás,M1159,G17,inside,Não degradada
600,M1159-E4-P2,-50.633227,-17.263688,Centro-Oeste,GO,Goiás,M1159,G17,inside,Degradação Moderada
604,M1159-E4-P3,-50.654337,-17.236559,Centro-Oeste,GO,Goiás,M1159,G17,outside,Degradação Biológica Severa
603,M1159-E4-P4,-50.65784,-17.239344,Centro-Oeste,GO,Goiás,M1159,G17,outside,Degradação Moderada
605,M1159-E4-P5,-50.648857,-17.224791,Centro-Oeste,GO,Goiás,M1159,G17,inside,Degradação Moderada
606,M1159-E4-P6,-50.659368,-17.224432,Centro-Oeste,GO,Goiás,M1159,G17,outside,Degradação Moderada
607,M1159-E4-P7,-50.660985,-17.221557,Centro-Oeste,GO,Goiás,M1159,G17,inside,Degradação Moderada
608,M1159-E4-P8,-50.665386,-17.216437,Centro-Oeste,GO,Goiás,M1159,G17,inside,Degradação Baixa
570,M1163-E5-P1,-50.621818,-17.603611,Centro-Oeste,GO,Goiás,M1163,G17,inside,Degradação Moderada
573,M1163-E5-P2,-50.598821,-17.586902,Centro-Oeste,GO,Goiás,M1163,G17,outside,Degradação Moderada
571,M1163-E5-P3,-50.596755,-17.596335,Centro-Oeste,GO,Goiás,M1163,G17,inside,Degradação Moderada
